Year,State,Most_Active_Time,Sentiment_Score,Post_Count,Hashtag_Count,Mention_Count,Avg_Post_Length,Unique_Users,Engagement_Rate,Topic
2023,Maharashtra,Afternoon,0.8145128319364157,377,32,23,138,2601,0.05939019525059352,Politics
2020,Andhra Pradesh,Afternoon,0.7061855396134686,932,10,16,191,2212,0.008535791263667747,Technology
2021,Haryana,Morning,0.2017163306730454,557,3,19,108,1885,0.05941993015322505,Health
2021,Puducherry,Morning,-0.2439083863103988,739,48,7,79,1968,0.06744462478522616,Business
2022,Puducherry,Evening,-0.4397319620360969,824,3,0,180,4647,0.09486626275366697,Technology
2023,Assam,Evening,-0.4751858974240091,915,14,27,166,1299,0.07715740251058412,Business
2021,Andaman and Nicobar Islands,Evening,-0.1525461344737038,293,34,16,124,2477,0.05409234003193711,Business
2022,Lakshadweep,Morning,-0.7115656574789677,815,10,5,138,1546,0.004844130578518702,Sports
2022,Chhattisgarh,Evening,-0.05085074614225649,862,41,14,99,2038,0.045262439647250644,Entertainment
2020,Chhattisgarh,Morning,-0.8689587848067137,608,5,16,152,4357,0.04675158573017371,Sports
2021,Odisha,Night,0.9949039544808467,936,48,16,170,4020,0.07525585749010089,Business
2020,Karnataka,Night,-0.29365197184438996,963,15,1,159,3701,0.08727668931851942,Entertainment
2019,Chandigarh,Night,0.457550407523553,470,13,9,199,2270,0.08849148109087786,Entertainment
2019,Himachal Pradesh,Morning,0.21660403678855622,519,23,25,117,1022,0.07593097532651528,Politics
2021,Mizoram,Night,-0.6985206848311503,156,8,15,180,949,0.07845040039168516,Health
2019,Uttarakhand,Morning,-0.3199014763590182,279,2,11,89,1818,0.07753356403572612,Technology
2022,Odisha,Morning,-0.4246098038136943,467,42,9,197,1381,0.09473161909159256,Technology
2018,Mizoram,Afternoon,0.11635592512516912,292,23,26,155,1627,0.09632581025250958,Sports
2023,Uttar Pradesh,Morning,-0.316870481515815,375,19,6,159,2693,0.0028123732418281924,Sports
